workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise
normalized_products_db.xlsx,Sheet1,1051,14 Stairs Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Home Depot,14 Stairs Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Hardware,0,,,,,0
normalized_products_db.xlsx,Sheet1,1053,3 passage handles Satin Chrome  0 Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Home Depot,3 passage handles Satin Chrome  0 Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Hardware,0,,chrome,chrome,,0
normalized_products_db.xlsx,Sheet1,1054,1 Privacy handle Satin Chrome  Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Home Depot,1 Privacy handle Satin Chrome  Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Hardware,0,,chrome,chrome,,0
normalized_products_db.xlsx,Sheet1,1055,3 hinged door stops  Home Depot w/hardware  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Home Depot,3 hinged door stops  Home Depot w/hardware  0.0 2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Hardware,0,,,,,0
normalized_products_db.xlsx,Sheet1,1056,3 Spring door stop chrome  Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,,,Home Depot,3 Spring door stop chrome  Home Depot w/hardware  2025-09-07 00:00:00 1.0 2025-09-25 00:00:00 1.0,Hardware,0,,chrome,chrome,,0
normalized_products_db.xlsx,Sheet1,1061,Shower Base  900 4599.18 Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,,,Ferguson,Shower Base  900 4599.18 Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1062,Shower Doors  1500 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,,,Ferguson,Shower Doors  1500 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1063,Shower Hand Held and Head  450 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,,,Ferguson,Shower Hand Held and Head  450 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1064,"Grab Bars - 3 shower, 1 Toilet area  450 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0",,,Ferguson,"Grab Bars - 3 shower, 1 Toilet area  450 Ferguson Order  Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0",Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1068,Hardware knobs for all  32.4 Home Depot  0.0 2025-10-16 00:00:00 0.0 0.0,,,Home Depot,Hardware knobs for all  32.4 Home Depot  0.0 2025-10-16 00:00:00 0.0 0.0,Hardware,0,,,,,0
normalized_products_db.xlsx,Sheet1,1072,Quartz Top & shower Pcs. Mystic Gray /white for sill  2150 CACJR Granite  0.0 2025-10-27 00:00:00 0.0 0.0,,,CACJR,Quartz Top & shower Pcs. Mystic Gray /white for sill  2150 CACJR Granite  0.0 2025-10-27 00:00:00 0.0 0.0,Plumbing,0,,white,white,,0
normalized_products_db.xlsx,Sheet1,1074,Sink  450 Ferguson order Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,,,Ferguson,Sink  450 Ferguson order Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1075,Faucet & Drain  Ferguson order Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,,,Ferguson,Faucet & Drain  Ferguson order Ferguson  0.0 2025-10-07 00:00:00 0.0 0.0,Plumbing,0,,,,,0
normalized_products_db.xlsx,Sheet1,1076,Tile  Shower Wall Tile 98 SQ Ft  850 1370.84 ProSource  0.0 0.0 0.0,,,ProSource,Tile  Shower Wall Tile 98 SQ Ft  850 1370.84 ProSource  0.0 0.0 0.0,Plumbing,1370.84,,,,,0
