manufacturer,manufacturerNorm,modelNumber,modelStem,name,description,category,unit,tier,collection,color,finish,productUrl,imageUrl,confidence,sourceWorkbook,sourceSheet,sourceRow,rowsInKey,distinctNamesInKey,distinctVendorsInKey,distinctColorFinishInKey
Kohler,kohler,K-30469,K30469,Kitchen Kitchen Faucet Rival -VS 600 Final,Kitchen Kitchen Faucet Rival -VS 600 315.22700000000003 Final,Plumbing,ea,,,,,,,high,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,27,1,1,1,0
Kohler,kohler,K-30811,K30811,Toilet Santa Rosa,Toilet Santa Rosa -0 512.897,Toilet,ea,,,,,https://www.fergusonhome.com/kohler-k-30811/s1886088?uid=4458444,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,149 | 27 | 212 | 107 | 36 | 779,2,2,1,0
Kohler,kohler,K-30919,K30919,Santa Rosa Left Lever,Santa Rosa Left Lever -L-BL 69.696,,ea,,,,,https://www.fergusonhome.com/kohler-k-30919-l/s1919646?uid=4534826,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,150 | 28 | 108 | 37,1,1,1,0
Kohler,kohler,K-31588,K31588,Toilet Bowl,,Toilet,ea,,,,,https://www.fergusonhome.com/kohler-k-31588/s1728651?uid=4091631,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,151 | 148 | 109 | 221 | 246 | 142 | 111,1,1,1,0
Kohler,kohler,K-31589,K31589,Toilet Bowl - Round,,Toilet,ea,,,,,https://www.fergusonhome.com/kohler-k-31589/s1764154?uid=4181546,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,152 | 55 | 61 | 64 | 110 | 36 | 44 | 50 | 53 | 60 | 56 | 434 | 440,2,2,1,0
Kohler,kohler,K-31620,K31620,Toilet - elongated Chair Height,,Toilet,ea,,,,,https://www.fergusonhome.com/kohler-k-31620/s1808775?uid=4283423,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,154 | 155 | 156 | 157 | 81 | 147 | 149 | 191 | 112 | 20 | 84 | 245 | 247 | 76 | 66 | 705 | 706 | 748,1,1,1,0
Kohler,kohler,K-31640,K31640,Toilet Ciminron Round Chair Height,Add-ON Toilet Ciminron 1.6 Round Chair Height -0 425.08400000000006,Uncategorized,ea,,,,,https://www.fergusonhome.com/kohler-k-31640/s1808951?uid=4283712,,high,Product_Master_Catalog_v3.xlsx | Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Extract | Raw Records | Product Master | Sheet1,14 | 23 | 158 | 5 | 113 | 10 | 13,1,1,1,0
Kohler,kohler,K-35934,K35934,TP Holder,,,ea,,,,,https://www.fergusonhome.com/kohler-k-35934/s2026376?uid=4853029,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,159 | 155 | 114 | 222 | 253 | 147 | 115,1,1,1,0
Kohler,kohler,K-35953,K35953,Faucet Wide Spread or Single Match vanity top,,Faucet,ea,,,,,https://www.fergusonhome.com/kohler-k-35953-4/s1979782?uid=4852964&searchId=qhFj6cZz3O,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,160 | 144 | 115 | 223 | 241 | 140 | 109,1,1,1,0
Kohler,kohler,K-37889,K37889,(1) Faucet & Drain Kit,(1) Faucet & Drain Kit -4-BL 481.94300000000004,Faucet,ea,,,,,https://www.fergusonhome.com/kohler-k-37889-4/s2068233?uid=5034096,,high,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Sheet1,161 | 30 | 116 | 39 | 38,1,1,1,0
