name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence
Shower Head & Trim -4 Southern Pipe,K-TS14422,,,Shower Head & Trim -4-BV 699.3689999999999 Southern Pipe 1.0,Plumbing,ea,,,,,699.37,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,269 | 197,high
Shower Trim,K-TS23954,,,,,ea,,,,,160.25,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,855 | 821,high
Shower Trim -CP,K-TS23954,,Ferguson,Shower Trim -CP 160.24800000000002,Plumbing,ea,,,,,160.25,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,295 | 233,high
Shower Fixures / Trim,K-TS24617,,,,,ea,,,,,400.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,837 | 806,high
Shower Fixures / Trim -4 400,K-TS24617,,Ferguson,Shower Fixures / Trim -4-CP 400 108.02000000000001,Plumbing,ea,,,,,108.02,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,286 | 223,high
Toilet left Lever - to match,K21265,,,,,ea,,,,,75.04,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,658 | 629,high
Toilet left Lever - to match -L,K21265,,Ferguson,Toilet left Lever - to match -L-BV 75.04 1.0,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,210,high
Toilet Cimarron Tank,K31614,,,,Toilet,ea,,,,,158.91,,,derived,Product_Master_Audit_Pass.xlsx | Product_Master_Warehouse.xlsx,Product_Occurrences | Product_Master | Product Master | Product Occurrences,403 | 385 | 239 | 276,high
Toilet Cimarron Tank _DRY,K31614,,Ferguson,Toilet Cimarron Tank K31614_DRY-0 158.906,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,129,high
Diverter Valve,K728,,,,,ea,,,,,204.17,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,644 | 616,high
Diverter Valve -K,K728,,Ferguson,Diverter Valve -K-NA 204.17100000000002 1.0,Plumbing,ea,,,,,204.17,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,271 | 199,high
Towel Bar,KOHLERK-21952-BN,,Ferguson,Kohler K-21952-BN,Powder Room,ea,,,,,77.31,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,25,medium
Toilet Paper Holder,KOHLERK-21954-BN,,Ferguson,Kohler K-21954-BN,Powder Room,ea,,,,,63.30,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,24,medium
Kitchen Faucet,KOHLERRIVALK-30469-VS,,Ferguson,Kohler Rival K-30469-VS,Kitchen,ea,,,,,315.23,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,8,medium
Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine,LMC2432,,,Elega 24 in. W x 32 in. H Rectangular Aluminum Recessed/Wall Mount Dimmable Fogless Lighted Medicine Cabinet with Mirror Home Depot Garwood Model # BLMC2432,,ea,,,,,,,,derived,compiled_products_db.xlsx,Sheet1,6,high
"T.P. Moen 7 /8"" x 1"" Grab Bar with Integrated Tissue Holder from the Home Care Collection",LR2352DBN,,Ferguson,,,ea,,,,,,https://www.fergusonhome.com/moen-lr2352d/s591174?uid=1748229,,derived,Product_Master_Extract.xlsx,Sheet1,16,high
Faucet - Single Handle,M-6903BN,,,,,ea,,,,,418.23,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,675 | 646,high
2 Widespread Faucets Valves & Drains,M-9000,,,,,ea,,,,,254.23,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,627 | 599,high
2 - Knobs for Cabinet,M379,,,2 - Knobs for Cabinet 20 26.39 Top Knobs,Cabinetry,ea,,,,nickel,26.39,https://www.shoptopknobs.com/product/nouveaum379/nouveaum379-1/flat-oval-1-1-2-long-oval-knob-in-brushed-satin-nickel,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,202 | 140 | 158 | 253 | 236 | 136 | 105,high
Shower Floor tile 4” x 4” Hexagon 18 SQ FT =$ USG12MH33,MH3317,,ProSource,Shower Floor tile 4” x 4” Hexagon 18 SQ FT =$627.30 USG12MH3317 730.03 690.03,Plumbing,sqft,,,,,690.03,https://www.stonepeakceramics.com/product/ikonite-walnut/,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,118,high
"Trim: Pencil 1/2"" x 12"" $ Need 26 Ft RQ 4/19",ML00526,,,"Trim: Pencil 1/2"" x 12"" $14.99 Need 26 Ft 449.7 633.9000000000001 RQ 4/19",,ea,,,,,14.99,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,64 | 60,high
Miseno Bella GPM Widespread Bathroom Faucet with Pop-Up Drain Assembly Model,MNO311LCP,,Ferguson cancelled BO til end of May,Miseno Bella 1.2 GPM Widespread Bathroom Faucet with Pop-Up Drain Assembly Model: 182.644 129.47 Ferguson cancelled BO til end of May,Faucet,ea,,,,,182.64,https://www.fergusonhome.com/miseno-mno311l/s1963380?uid=4644130,,derived,Product_Master_Enhanced.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Product Occurrences | Sheet1,211 | 277 | 259 | 303 | 248 | 176,high
"Zenna Home Medicine Cabinet 24"" x 30""",MRA2430,,,"Zenna Home Medicine Cabinet 24"" x 30"" EMRA2430 200 210.492125 Home Depot",,ea,,,,,210.49,https://www.homedepot.com/p/Zenna-Home-24-in-W-x-30-in-H-Aluminum-Frameless-Beveled-Mirror-Medicine-Cabinet-EMRA2430/207018216,,derived,compiled_products_db.xlsx,Sheet1,171,high
